PDB_ID,Total_Electric_Charge,Filename,First O-H-H-O-H-H Row,Last H in Last O-H-H-O-H-H Row
3QOJ,11.0,3QOJ.xyz,2108,21280
4HMI,12.0,4HMI.xyz,2130,21239
5IIF,9.0,5IIF.xyz,2100,21245
2RVQ,42.0,2RVQ.xyz,4149,304673
3ERO,9.0,3ERO.xyz,2098,21225
3TP8,9.0,3TP8.xyz,2098,21222
5KIX,9.0,5KIX.xyz,2098,21261
2QDB,14.0,2QDB.xyz,2402,99532
5EGT,9.0,5EGT.xyz,2101,21231
3EVQ,9.0,3EVQ.xyz,2098,21228
2OEO,5.0,2OEO.xyz,2058,21296
4BYA,-7.0,4BYA.xyz,1166,21370
5E1F,9.0,5E1F.xyz,2110,21276
3H6M,9.0,3H6M.xyz,2101,21234
5ISR,9.0,5ISR.xyz,2098,21231
1EY7,12.0,1EY7.xyz,2399,99577
1LE2,-1.0,1LE2.xyz,2353,50787
4HMJ,9.0,4HMJ.xyz,2095,21267
2RDF,14.0,2RDF.xyz,2395,99507
5I6Y,9.0,5I6Y.xyz,2107,27072
5J1Z,9.0,5J1Z.xyz,2104,21267
3C1F,11.0,3C1F.xyz,2108,21256
8I41,-15.0,8I41.xyz,25521,200555
3E5S,22.0,3E5S.xyz,4209,72197
4KY7,10.0,4KY7.xyz,2157,27107
3HZX,11.0,3HZX.xyz,2108,21259
4YIJ,21.0,4YIJ.xyz,4365,84980
4KY5,9.0,4KY5.xyz,2098,21249
5KGU,9.0,5KGU.xyz,2100,21218
3P75,11.0,3P75.xyz,2099,27040
6EEG,9.0,6EEG.xyz,2103,21245
3EJI,10.0,3EJI.xyz,2126,27079
1VII,2.0,1VII.xyz,597,12386
5DEH,9.0,5DEH.xyz,2100,21233
3C1E,11.0,3C1E.xyz,2142,21242
3TP7,9.0,3TP7.xyz,2101,21315
3ITP,11.0,3ITP.xyz,2104,21249
2V8N,22.0,2V8N.xyz,13263,170783
5E3F,11.0,5E3F.xyz,2105,21253
3RUZ,11.0,3RUZ.xyz,2108,27097
5I6W,9.0,5I6W.xyz,2104,21231
3SK5,9.0,3SK5.xyz,2098,21216
4KY6,9.0,4KY6.xyz,2095,21249
1BVC,14.0,1BVC.xyz,2472,27020
3ERQ,11.0,3ERQ.xyz,2105,21253
3BDC,10.0,3BDC.xyz,2102,21265
5JAV,9.0,5JAV.xyz,2093,21211
1QT8,10.0,1QT8.xyz,2651,33799
2KIX,12.0,2KIX.xyz,2229,41558
4EQP,9.0,4EQP.xyz,2095,21252
1L98,8.0,1L98.xyz,2643,33755
3D4D,18.0,3D4D.xyz,4191,72131
2RBM,12.0,2RBM.xyz,2127,27086
7XJD,-2.0,7XJD.xyz,3616,72384
8UOZ,5.0,8UOZ.xyz,3443,41371
1PRW,-15.0,1PRW.xyz,2268,27014
3QOL,9.0,3QOL.xyz,2101,21246
