PDB_ID,Final Function Value,Time Taken (s)
2RVQ.xyz,-1105899.5226,10883.2113378048
8I41.xyz,-1039921.691,9957.80217075348
2V8N.xyz,-636515.4699,1181.82813286781
2RDF.xyz,-383918.3022,643.640194416046
3DMU.xyz,-384547.2272,581.497793912888
2QDB.xyz,-383933.6072,569.227497577667
1EY7.xyz,-383999.3538,566.643909931183
3D6C.xyz,-330232.9965,560.959253787994
4YIJ.xyz,-326765.7393,553.411880493164
3D4D.xyz,-274593.5174,434.67316865921
3E5S.xyz,-275235.4915,405.559564590454
7XJD.xyz,-271749.1905,365.264265775681
1LE2.xyz,-196004.2582,283.121943235397
8UOZ.xyz,-150737.9969,245.990009784699
2KIX.xyz,-155890.3482,239.095917701721
1QT8.xyz,-127824.1447,221.654555082321
1L98.xyz,-126396.9486,196.838474988937
3P75.xyz,-103101.9555,174.69473195076
3RUZ.xyz,-102721.6414,169.239461183548
1BVC.xyz,-101221.7862,167.447515964508
2RBM.xyz,-102531.1704,165.718461275101
5I6Y.xyz,-101985.242,164.987035989761
3ERQ.xyz,-80320.8254,157.315525531769
3ITP.xyz,-79665.0919,156.99715924263
1PRW.xyz,-103422.5446,156.722420215607
4KY7.xyz,-102325.0301,156.142746448517
3EJI.xyz,-101620.1955,154.545186519623
4HMJ.xyz,-79834.3894,153.368721246719
3QOL.xyz,-80183.356,152.986779689789
3HZX.xyz,-79630.9333,152.926420211792
5KGU.xyz,-79935.0619,152.044826507568
5EGT.xyz,-79465.0378,148.260283708572
5J1Z.xyz,-79564.5914,146.534028530121
4HMI.xyz,-80019.1574,146.468402862549
5JAV.xyz,-79172.8522,145.876875638962
4EQP.xyz,-80159.6761,145.513529539108
5DEH.xyz,-79248.3914,143.852803230286
2OEO.xyz,-79940.6007,143.267587900162
4KY6.xyz,-79967.5718,142.699884176254
3TP8.xyz,-79672.5029,142.6929666996
5IIF.xyz,-79755.1696,141.538678169251
5E3F.xyz,-79730.3535,139.841583251953
3C1E.xyz,-79726.614,139.751039028168
3ERO.xyz,-79759.1848,139.481934547424
4BYA.xyz,-82740.0042,139.212999343872
3SK5.xyz,-78976.3537,138.370295286179
3H6M.xyz,-79020.0086,136.93356347084
4KY5.xyz,-79111.3533,135.543912887573
3EVQ.xyz,-78961.065,134.912430763245
5I6W.xyz,-78942.5046,134.615062713623
6EEG.xyz,-79495.1809,133.246249198914
5ISR.xyz,-78968.1214,132.714239835739
3TP7.xyz,-79252.9547,132.433024168015
5KIX.xyz,-79619.6151,131.695595979691
3BDC.xyz,-78871.9344,128.220884084702
3QOJ.xyz,-79689.6365,128.185906887054
3C1F.xyz,-78842.5621,127.153167486191
5E1F.xyz,-78875.5213,126.695148229599
1VII.xyz,-47717.9207,91.1459805965424
