PDB_ID,Final Function Value,Time Taken (s)
2RVQ.xyz,-1095862.793,10287.1670958996
8I41.xyz,-635236.9993,5122.25097751617
2V8N.xyz,-584478.7302,769.844128608704
2RDF.xyz,-384526.3268,606.518192529678
2QDB.xyz,-384058.8742,595.603723287582
1EY7.xyz,-384020.937,586.541799545288
4YIJ.xyz,-326482.5205,542.13666176796
3D4D.xyz,-275991.0158,438.298979997635
7XJD.xyz,-273031.9,406.654281139374
3E5S.xyz,-270378.8553,406.396671295166
1LE2.xyz,-195390.0868,266.209657669067
2KIX.xyz,-155506.93,232.207106113434
8UOZ.xyz,-150248.786,222.364133834839
1L98.xyz,-127755.3705,222.297999858856
1QT8.xyz,-127557.6283,209.077410936356
1BVC.xyz,-101586.0665,175.478604316711
2RBM.xyz,-102592.7001,171.770107507706
4KY7.xyz,-102716.3943,170.036917448044
3P75.xyz,-102885.2594,169.183927297592
1PRW.xyz,-97231.6373,165.374662160873
4HMI.xyz,-80555.803,163.160622835159
3RUZ.xyz,-102438.9985,157.358678102493
2OEO.xyz,-80343.4824,155.883989095688
3EJI.xyz,-101664.2431,153.16307926178
3TP7.xyz,-80446.0187,152.224893808365
3C1E.xyz,-80162.2699,151.879353284836
3SK5.xyz,-79875.4695,149.522639751434
3BDC.xyz,-80253.6043,149.518367052078
5I6Y.xyz,-86305.6652,148.584847927094
6EEG.xyz,-79944.668,145.041779756546
3H6M.xyz,-79850.173,143.745051145554
3ITP.xyz,-80013.3905,143.677184581757
4KY6.xyz,-79994.9675,143.597820043564
4BYA.xyz,-83203.1616,142.622206926346
5ISR.xyz,-79831.544,141.51069021225
5JAV.xyz,-79470.2656,137.051383495331
4EQP.xyz,-79765.6113,134.939671993256
5I6W.xyz,-79389.6982,133.224943876266
5DEH.xyz,-79427.6868,131.661456823349
5IIF.xyz,-79411.2533,131.054612874985
3HZX.xyz,-74623.1283,130.860391616821
3QOJ.xyz,-79793.6865,130.117558240891
3TP8.xyz,-74054.4842,128.732774734497
5E1F.xyz,-79488.1174,128.141260623932
3QOL.xyz,-74167.8356,125.392418146133
5J1Z.xyz,-73977.9772,124.496475458145
3EVQ.xyz,-55522.7433,120.355617284775
3ERO.xyz,-73829.8915,120.213895797729
5EGT.xyz,-55515.4256,119.802089214325
4HMJ.xyz,-55605.0344,116.08034491539
5KIX.xyz,-73812.9164,115.612372636795
5E3F.xyz,-74206.6157,115.515153884888
4KY5.xyz,-73887.2423,114.900646924973
3ERQ.xyz,-74008.6759,111.402033805847
3C1F.xyz,-64156.3513,110.380250453949
5KGU.xyz,-73358.9206,109.273265361786
1VII.xyz,-47575.8166,83.7383699417114
