PDB_ID,Total_Electric_Charge
3QOJ,11.00000
4HMI,12.00000
5IIF,9.00000
2RVQ,42.00000
3ERO,9.00000
3TP8,9.00000
5KIX,9.00000
2QDB,14.00000
5EGT,9.00000
3EVQ,9.00000
2OEO,5.00000
4BYA,-7.00000
5E1F,9.00000
3H6M,9.00000
5ISR,9.00000
1EY7,12.00000
3D6C,12.00000
1LE2,-1.00000
4HMJ,9.00000
2RDF,14.00000
5I6Y,9.00000
5J1Z,9.00000
3C1F,11.00000
8I41,-15.00000
3E5S,22.00000
4KY7,10.00000
3HZX,11.00000
4YIJ,21.00000
3DMU,12.00000
4KY5,9.00000
5KGU,9.00000
3P75,11.00000
6EEG,9.00000
3EJI,10.00000
1VII,2.00000
5DEH,9.00000
3C1E,11.00000
3TP7,9.00000
3ITP,11.00000
2V8N,22.00000
5E3F,11.00000
3RUZ,11.00000
5I6W,9.00000
3SK5,9.00000
4KY6,9.00000
1BVC,14.00000
3ERQ,11.00000
3BDC,10.00000
5JAV,9.00000
1QT8,10.00000
2KIX,12.00000
4EQP,9.00000
1L98,8.00000
3D4D,18.00000
2RBM,12.00000
7XJD,-2.00000
8UOZ,5.00000
1PRW,-15.00000
3QOL,9.00000
