PDB_ID,Min_X,Min_Y,Min_Z,Max_X,Max_Y,Max_Z,Range_X,Range_Y,Range_Z,Cube_Size,Waterbox
'3QOJ,-19.282646,-19.442878,-20.495705,17.074818,18.451969,18.828942,36.357464,37.894847,39.324647,60,60
'4HMI,-19.085228,-18.957456,-18.566042,17.269659,18.848283,17.659349,36.354887000000005,37.805739,36.225391,58,60
'5IIF,-19.172387,-19.516614,-19.843273,17.187422,18.744447,18.156451,36.359809,38.261061,37.999724,59,60
'2RVQ,-55.030819,-69.75832,-54.507975,56.746181,50.84668,56.586025,111.777,120.60499999999999,111.094,141,145
'3ERO,-20.873,-20.104302,-20.858671,17.176491,18.42567,18.314138,38.049491,38.529972,39.172809,60,60
'3TP8,-19.106398,-19.495283,-20.719374,17.144124,18.707205,18.456427,36.250522000000004,38.202488,39.175801,60,60
'5KIX,-19.176679,-18.932552,-19.246861,17.161262,18.918181,17.388426,36.337941,37.850733000000005,36.635287,58,60
'2QDB,-21.153309,-34.020706,-20.281303,21.518935,41.29864,22.971391,42.672244,75.319346,43.252694000000005,96,100
'5EGT,-19.335598,-19.457349,-19.608572,17.130182,18.398676,17.878983,36.46578,37.856025,37.487555,58,60
'3EVQ,-19.07439,-19.70882,-20.661907,17.231047,18.60758,18.379253,36.305437,38.3164,39.04116,60,60
'2OEO,-18.887068,-19.835739,-18.501024,16.162666,15.458295,19.920965,35.049734,35.294033999999996,38.421988999999996,59,60
'4BYA,-13.535967,-17.32499,-14.734028,13.247033,18.40001,20.140972,26.783,35.725,34.875,56,60
'5E1F,-19.167106,-19.208326,-20.351217,16.984805,18.903524,18.57182,36.151911,38.111850000000004,38.923036999999994,59,60
'3H6M,-19.062442,-19.978,-20.010456,17.142238,19.041354,18.283435,36.204679999999996,39.019354,38.293891,60,60
'5ISR,-19.21289,-19.567874,-19.290286,17.159918,18.196449,17.235222,36.372808000000006,37.764323000000005,36.525508,58,60
'1EY7,-24.471963,-45.441162,-28.521043,19.793202,32.148489,18.65652,44.265164999999996,77.589651,47.177563,98,100
'3D6C,-24.847965,-31.206478,-20.672261,21.516802,42.224114,29.024313,46.364767,73.430592,49.696574,94,95
'1LE2,-24.030632,-16.779056,-26.161945,28.441776,19.54398,30.960291,52.472408,36.323036,57.122236,78,80
'4HMJ,-20.860259,-20.006593,-20.240633,17.093782,18.488344,18.289844,37.954041000000004,38.494937,38.530477,59,60
'2RDF,-20.932978,-32.344689,-25.688308,21.299662,47.584911,17.172848,42.23264,79.9296,42.861155999999994,100,100
'5I6Y,-19.097277,-21.92229,-21.448593,17.364492,19.165763,18.260079,36.461769,41.088053,39.708672,62,65
'5J1Z,-19.162951,-18.745069,-19.195738,17.22159,18.823321,18.125121,36.384541,37.56839,37.320859,58,60
'3C1F,-19.036875,-19.905547,-21.083967,17.359756,18.806782,18.177981,36.396631,38.712329,39.261948000000004,60,60
'8I41,-44.630452,-42.848595,-59.48912,44.449536,44.694269,51.634669,89.079988,87.54286400000001,111.123789,132,145
'3E5S,-23.722582,-32.825446,-20.599539,27.120384,34.93164,22.037168,50.842966000000004,67.757086,42.636707,88,90
'4KY7,-17.592889,-21.727043,-21.373803,20.082078,20.008059,16.908872,37.674966999999995,41.735102,38.282675,62,65
'3HZX,-19.216285,-19.966958,-20.048409,17.193255,18.685634,18.469013,36.40954,38.652592,38.517421999999996,59,60
'4YIJ,-26.215902,-25.940188,-37.940058,24.856511,24.181484,34.094127,51.072413,50.121672000000004,72.03418500000001,93,95
'3DMU,-44.510581,-19.801857,-19.079485,31.862828,19.044636,19.71343,76.37340900000001,38.846492999999995,38.792914999999994,97,100
'4KY5,-19.210451,-18.926407,-18.5091,17.142918,19.248614,18.532305,36.353369,38.175021,37.041405,59,60
'5KGU,-19.33347,-19.566047,-18.722686,17.098185,18.726908,18.390531,36.431655,38.292955000000006,37.113217,59,60
'3P75,-19.525026,-19.285997,-21.876034,17.24315,20.37191,18.259276,36.768176,39.657906999999994,40.135310000000004,61,65
'6EEG,-20.230269,-19.503756,-21.718479,17.154462,18.876318,17.964609,37.384731,38.380074,39.683088,60,60
'3EJI,-21.309441,-19.750156,-19.423017,19.437039,19.945564,16.679592,40.74648,39.69572,36.102609,61,65
'2RKS,-24.8463,-44.989866,-26.304371,21.474687,32.426648,18.617817,46.320987,77.416514,44.922188,98,100
'1VII,-12.774756,-13.098606,-11.391489,11.729244,14.356394,8.843511,24.503999999999998,27.455,20.235,48,50
'5DEH,-19.769069,-19.940894,-19.130448,17.14763,19.029697,18.009461,36.916698999999994,38.970591,37.139909,59,60
'3C1E,-19.112569,-19.705296,-20.135043,17.229602,19.162998,17.592853,36.342171,38.868294000000006,37.727896,59,60
'3TP7,-17.185648,-19.778929,-18.446757,19.227466,18.595138,21.056334,36.413114,38.374067,39.503091,60,60
'3ITP,-19.04509,-19.864074,-19.874897,17.131984,19.118936,18.881036,36.177074,38.98301,38.755933,59,60
'2V8N,-38.943756,-45.365946,-35.109076,45.857984,52.68804,35.19291,84.80174,98.05398600000001,70.301986,119,120
'5E3F,-19.120678,-19.855614,-19.112784,17.042458,18.848812,17.317308,36.163136,38.704426,36.430092,59,60
'3RUZ,-17.689338,-21.777768,-22.84047,19.036968,19.362608,18.014998,36.726306,41.140376,40.855468,62,65
