PDB to XYZ Conversion Log
============================================================
Processing 61 PDB files

OK: 1BVC.pdb → 1BVC.xyz
OK: 8I41.pdb → 8I41.xyz
OK: 2RBM.pdb → 2RBM.xyz
OK: 5I6Y.pdb → 5I6Y.xyz
OK: 1L98.pdb → 1L98.xyz
OK: 2KIX.pdb → 2KIX.xyz
OK: 4KY7.pdb → 4KY7.xyz
OK: 3ITP.pdb → 3ITP.xyz
OK: 2QDB.pdb → 2QDB.xyz
OK: 5J1Z.pdb → 5J1Z.xyz
OK: 4YIJ.pdb → 4YIJ.xyz
OK: 3E5S.pdb → 3E5S.xyz
OK: 1VII.pdb → 1VII.xyz
OK: 3HZX.pdb → 3HZX.xyz
OK: 3EVQ.pdb → 3EVQ.xyz
OK: 2V8N.pdb → 2V8N.xyz
OK: 6EEG.pdb → 6EEG.xyz
OK: 4HMJ.pdb → 4HMJ.xyz
OK: 2OEO.pdb → 2OEO.xyz
OK: 3QOJ.pdb → 3QOJ.xyz
OK: 1PRW.pdb → 1PRW.xyz
OK: 5ISR.pdb → 5ISR.xyz
OK: 2OXP.pdb → 2OXP.xyz
OK: 3DMU.pdb → 3DMU.xyz
OK: 3C1F.pdb → 3C1F.xyz
OK: 2RKS.pdb → 2RKS.xyz
OK: 7XJD.pdb → 7XJD.xyz
OK: 3D6C.pdb → 3D6C.xyz
OK: 3RUZ.pdb → 3RUZ.xyz
OK: 5EGT.pdb → 5EGT.xyz
OK: 3H6M.pdb → 3H6M.xyz
OK: 3BDC.pdb → 3BDC.xyz
OK: 5E3F.pdb → 5E3F.xyz
OK: 2RDF.pdb → 2RDF.xyz
OK: 5E1F.pdb → 5E1F.xyz
OK: 3ERQ.pdb → 3ERQ.xyz
OK: 5IIF.pdb → 5IIF.xyz
OK: 5JAV.pdb → 5JAV.xyz
OK: 2RVQ.pdb → 2RVQ.xyz
OK: 4KY6.pdb → 4KY6.xyz
OK: 3SK5.pdb → 3SK5.xyz
OK: 5KIX.pdb → 5KIX.xyz
OK: 5DEH.pdb → 5DEH.xyz
OK: 8UOZ.pdb → 8UOZ.xyz
OK: 3EJI.pdb → 3EJI.xyz
OK: 1EY7.pdb → 1EY7.xyz
OK: 4HMI.pdb → 4HMI.xyz
OK: 4BYA.pdb → 4BYA.xyz
OK: 5KGU.pdb → 5KGU.xyz
OK: 3C1E.pdb → 3C1E.xyz
OK: 3TP8.pdb → 3TP8.xyz
OK: 4EQP.pdb → 4EQP.xyz
OK: 1QT8.pdb → 1QT8.xyz
OK: 3D4D.pdb → 3D4D.xyz
OK: 1LE2.pdb → 1LE2.xyz
OK: 3P75.pdb → 3P75.xyz
OK: 5I6W.pdb → 5I6W.xyz
OK: 3TP7.pdb → 3TP7.xyz
OK: 4KY5.pdb → 4KY5.xyz
OK: 3ERO.pdb → 3ERO.xyz
OK: 3QOL.pdb → 3QOL.xyz

============================================================
Summary: 61 succeeded, 0 failed
Finished PDB to XYZ conversion
