Feature_Index,Importance,,,,,,,,,,,,,,,,,,,
0,0.07518762,,,,,,,,,,,,,,,,,,,
1,0.061171256,,,,,,,,,,,,,,,,,,,
2,0.16782346,,,,,,,,,,,,,,,,,,,
3,0.10767259,,,,,,,,,,,,,,,,,,,
4,0.45685786,,,,,,,,,,,,,,,,,,,
5,0.47288418,,,,,,,,,,,,,,,,,,,
6,0.4643486,,,,,,,,,,,,,,,,,,,
7,0.36267182,,,,,,,,,,,,,,,,,,,
8,0.36701342,,,,,,,,,,,,,,,,,,,
9,0.38602996,,,,,,,,,,,,,,,,,,,
10,0.19821009,,,,,,,,,,,,,,,,,,,
11,0.73253864,,,,,,,,,,,,,,,,,,,
12,0.7876194,,,,,,,,,,,,,,,,,,,
13,0.02945435,,,,,,,,,,,,,,,,,,,
14,0.0072063627,,,,,,,,,,,,,,,,,,,
15,0.0054520466,,,,,,,,,,,,,,,,,,,
16,0.35889524,,,,,,,,,,,,,,,,,,,
17,0.050529934,,,,,,,,,,,,,,,,,,,
18,0.050781675,,,,,,,,,,,,,,,,,,,
19,0.05071745,,,,,,,,,,,,,,,,,,,
20,0.050536714,,,,,,,,,,,,,,,,,,,
21,0.10361401,,,,,,,,,,,,,,,,,,,-
22,0.12729616,,,,,,,,,,,,,,,,,,,
23,0.020925784,,,,,,,,,,,,,,,,,,,
24,0.220343,,,,,,,,,,,,,,,,,,,
25,0.025588423,,,,,,,,,,,,,,,,,,,
