Filename,First O-H-H-O-H-H Row,Last H in Last O-H-H-O-H-H Row,Last_Atom_ID_In_Source_XYZ,Is_Consecutive_To_First_OHH_OHH
3QOJ.xyz,2108,21280,2107,True
4HMI.xyz,2130,21239,2129,True
5IIF.xyz,2100,21245,2099,True
2RVQ.xyz,4149,304673,4148,True
3ERO.xyz,2098,21225,2097,True
3TP8.xyz,2098,21222,2097,True
5KIX.xyz,2098,21261,2097,True
2QDB.xyz,2402,99529,2401,True
5EGT.xyz,2101,21231,2100,True
3EVQ.xyz,2098,21228,2097,True
2OEO.xyz,2058,21296,2057,True
4BYA.xyz,1166,21370,1165,True
5E1F.xyz,2110,21276,2109,True
3H6M.xyz,2101,21234,2100,True
5ISR.xyz,2098,21231,2097,True
1EY7.xyz,2399,99577,2398,True
3D6C.xyz,2390,85201,2389,True
1LE2.xyz,2353,50787,2352,True
4HMJ.xyz,2095,21267,2094,True
2RDF.xyz,2395,99519,2394,True
5I6Y.xyz,2107,27072,2106,True
5J1Z.xyz,2104,21267,2103,True
3C1F.xyz,2108,21256,2107,True
8I41.xyz,25521,300830,25520,True
3E5S.xyz,4209,72197,4208,True
4KY7.xyz,2157,27107,2156,True
3HZX.xyz,2108,21259,2107,True
4YIJ.xyz,4365,84980,4364,True
3DMU.xyz,2401,99540,2400,True
4KY5.xyz,2098,21249,2097,True
5KGU.xyz,2100,21218,2099,True
3P75.xyz,2099,27040,2098,True
6EEG.xyz,2103,21245,2102,True
3EJI.xyz,2126,27079,2125,True
2RKS.xyz,2396,99529,2395,True
1VII.xyz,597,12386,596,True
5DEH.xyz,2100,21233,2099,True
3C1E.xyz,2142,21242,2141,True
3TP7.xyz,2101,21315,2100,True
3ITP.xyz,2104,21249,2103,True
2V8N.xyz,13263,170783,13262,True
5E3F.xyz,2105,21253,2104,True
3RUZ.xyz,2108,27097,2107,True
5I6W.xyz,2104,21231,2103,True
3SK5.xyz,2098,21216,2097,True
4KY6.xyz,2095,21249,2094,True
2OXP.xyz,2389,99612,2388,True
1BVC.xyz,2472,27020,2471,True
3ERQ.xyz,2105,21253,2104,True
3BDC.xyz,2102,21265,2101,True
5JAV.xyz,2093,21211,2092,True
1QT8.xyz,2651,33799,2650,True
2KIX.xyz,2229,41558,2228,True
4EQP.xyz,2095,21252,2094,True
1L98.xyz,2643,33755,2642,True
3D4D.xyz,4191,72131,4190,True
2RBM.xyz,2127,27086,2126,True
7XJD.xyz,3616,72384,3615,True
8UOZ.xyz,3443,41371,3442,True
1PRW.xyz,2268,27014,2267,True
3QOL.xyz,2101,21246,2100,True
