Filename,Issue_Reason
2RVQ.xyz,Atom_ID_Mismatch
5EGT.xyz,Atom_ID_Mismatch
3EVQ.xyz,Atom_ID_Mismatch
4BYA.xyz,Atom_ID_Mismatch
5E1F.xyz,Atom_ID_Mismatch
3H6M.xyz,Atom_ID_Mismatch
5ISR.xyz,Atom_ID_Mismatch
4HMJ.xyz,Atom_ID_Mismatch
5I6Y.xyz,Atom_ID_Mismatch
5J1Z.xyz,Atom_ID_Mismatch
3C1F.xyz,Atom_ID_Mismatch
8I41.xyz,Atom_ID_Mismatch
3HZX.xyz,Atom_ID_Mismatch
4KY5.xyz,Atom_ID_Mismatch
5DEH.xyz,Unable_to_Read_Atom_IDs
3TP7.xyz,Atom_ID_Mismatch
3ITP.xyz,Atom_ID_Mismatch
2V8N.xyz,Atom_ID_Mismatch
5I6W.xyz,Atom_ID_Mismatch
3SK5.xyz,Atom_ID_Mismatch
3BDC.xyz,Atom_ID_Mismatch
5JAV.xyz,Atom_ID_Mismatch
1L98.xyz,Atom_ID_Mismatch
3D4D.xyz,Atom_ID_Mismatch
8UOZ.xyz,Atom_ID_Mismatch
1PRW.xyz,Atom_ID_Mismatch
