Filename,Last_Atom_ID_Dissolved,Last_Atom_ID_Neutralized,Difference,Status
3QOJ.xyz,2107,2107,0,OK
4HMI.xyz,2129,2129,0,OK
5IIF.xyz,2099,2099,0,OK
2RVQ.xyz,4148,300447,296299,MISMATCH
3ERO.xyz,2097,2097,0,OK
3TP8.xyz,2097,2097,0,OK
5KIX.xyz,2097,2097,0,OK
2QDB.xyz,2401,2401,0,OK
5EGT.xyz,2100,1,-2099,MISMATCH
3EVQ.xyz,2097,1,-2096,MISMATCH
2OEO.xyz,2057,2057,0,OK
4BYA.xyz,1165,2,-1163,MISMATCH
5E1F.xyz,2109,1,-2108,MISMATCH
3H6M.xyz,2100,1,-2099,MISMATCH
5ISR.xyz,2097,2,-2095,MISMATCH
1EY7.xyz,2398,2398,0,OK
3D6C.xyz,2389,2389,0,OK
1LE2.xyz,2352,2352,0,OK
4HMJ.xyz,2094,1,-2093,MISMATCH
2RDF.xyz,2394,2394,0,OK
5I6Y.xyz,2106,2,-2104,MISMATCH
5J1Z.xyz,2103,1,-2102,MISMATCH
3C1F.xyz,2107,1,-2106,MISMATCH
8I41.xyz,25520,15312,-10208,MISMATCH
3E5S.xyz,4208,4208,0,OK
4KY7.xyz,2156,2156,0,OK
3HZX.xyz,2107,1,-2106,MISMATCH
4YIJ.xyz,4364,4364,0,OK
3DMU.xyz,2400,2400,0,OK
4KY5.xyz,2097,2,-2095,MISMATCH
5KGU.xyz,2099,2099,0,OK
3P75.xyz,2098,2098,0,OK
6EEG.xyz,2102,2102,0,OK
3EJI.xyz,2125,2125,0,OK
1VII.xyz,596,596,0,OK
5DEH.xyz,2099,,N/A,Missing Data
3C1E.xyz,2141,2141,0,OK
3TP7.xyz,2100,1,-2099,MISMATCH
3ITP.xyz,2103,1,-2102,MISMATCH
2V8N.xyz,13262,6630,-6632,MISMATCH
5E3F.xyz,2104,2104,0,OK
3RUZ.xyz,2107,2107,0,OK
5I6W.xyz,2103,2,-2101,MISMATCH
3SK5.xyz,2097,2,-2095,MISMATCH
4KY6.xyz,2094,2094,0,OK
1BVC.xyz,2471,2471,0,OK
3ERQ.xyz,2104,2104,0,OK
3BDC.xyz,2101,1,-2100,MISMATCH
5JAV.xyz,2092,1,-2091,MISMATCH
1QT8.xyz,2650,2650,0,OK
2KIX.xyz,2228,2228,0,OK
4EQP.xyz,2094,2094,0,OK
1L98.xyz,2642,1,-2641,MISMATCH
3D4D.xyz,4190,2096,-2094,MISMATCH
2RBM.xyz,2126,2126,0,OK
7XJD.xyz,3615,3615,0,OK
8UOZ.xyz,3442,1722,-1720,MISMATCH
1PRW.xyz,2267,4,-2263,MISMATCH
3QOL.xyz,2100,2100,0,OK
