filename,stop_atom_number
3P75,2099
3E5S,4209
2RDF,2395
3D4D,4191
3D6C,2390
3ERO,2098
5I6Y,2107
3HZX,2108
5I6W,2104
3C1F,2108
2OEO,2058
2KIX,2229
3RUZ,2108
1PRW,2268
4KY6,2095
4BYA,1166
5JAV,2093
3QOJ,2108
4EQP,2095
4KY7,2157
8I41,25521
5EGT,2101
5ISR,2098
4YIJ,4365
4HMJ,2095
2QDB,2402
5E3F,2105
4KY5,2098
3TP7,2101
6EEG,2103
1QT8,2651
3SK5,2098
3BDC,2102
5KIX,2098
2V8N,13263
7XJD,3616
3TP8,2098
3EJI,2126
1VII,597
3C1E,2142
5E1F,2110
1EY7,2399
1LE2,2353
3EVQ,2098
5KGU,2100
2RBM,2127
4HMI,2130
1L98,2643
5IIF,2100
3ITP,2104
3H6M,2101
8UOZ,3443
5DEH,2100
3ERQ,2105
2RVQ,4149
3DMU,2401
3QOL,2101
5J1Z,2104
1BVC,2472
