Folder,PDB_ID,Generated_File,Atom_Count,File_Size_KB,Full_Path
3P75,3P75_NEW_ID_Added,3P75_NEW_ID_Added_refined_coordinates.pdb,2096,166.01,../Graph_pKa/Features/3P75/3P75_NEW_ID_Added_refined_coordinates.pdb
3E5S,3E5S_NEW_ID_Added,3E5S_NEW_ID_Added_refined_coordinates.pdb,4206,332.91,../Graph_pKa/Features/3E5S/3E5S_NEW_ID_Added_refined_coordinates.pdb
2RDF,2RDF_NEW_ID_Added,2RDF_NEW_ID_Added_refined_coordinates.pdb,2394,189.58,../Graph_pKa/Features/2RDF/2RDF_NEW_ID_Added_refined_coordinates.pdb
3D4D,3D4D_NEW_ID_Added,3D4D_NEW_ID_Added_refined_coordinates.pdb,4188,331.49,../Graph_pKa/Features/3D4D/3D4D_NEW_ID_Added_refined_coordinates.pdb
3D6C,3D6C_NEW_ID_Added,3D6C_NEW_ID_Added_refined_coordinates.pdb,2388,189.11,../Graph_pKa/Features/3D6C/3D6C_NEW_ID_Added_refined_coordinates.pdb
3ERO,3ERO_NEW_ID_Added,3ERO_NEW_ID_Added_refined_coordinates.pdb,2096,166.01,../Graph_pKa/Features/3ERO/3ERO_NEW_ID_Added_refined_coordinates.pdb
5I6Y,5I6Y_NEW_ID_Added,5I6Y_NEW_ID_Added_refined_coordinates.pdb,2105,166.72,../Graph_pKa/Features/5I6Y/5I6Y_NEW_ID_Added_refined_coordinates.pdb
3HZX,3HZX_NEW_ID_Added,3HZX_NEW_ID_Added_refined_coordinates.pdb,2106,166.8,../Graph_pKa/Features/3HZX/3HZX_NEW_ID_Added_refined_coordinates.pdb
5I6W,5I6W_NEW_ID_Added,5I6W_NEW_ID_Added_refined_coordinates.pdb,2102,166.48,../Graph_pKa/Features/5I6W/5I6W_NEW_ID_Added_refined_coordinates.pdb
3C1F,3C1F_NEW_ID_Added,3C1F_NEW_ID_Added_refined_coordinates.pdb,2106,166.8,../Graph_pKa/Features/3C1F/3C1F_NEW_ID_Added_refined_coordinates.pdb
2OEO,2OEO_NEW_ID_Added,2OEO_NEW_ID_Added_refined_coordinates.pdb,2056,162.85,../Graph_pKa/Features/2OEO/2OEO_NEW_ID_Added_refined_coordinates.pdb
2KIX,2KIX_NEW_ID_Added,2KIX_NEW_ID_Added_refined_coordinates.pdb,2228,176.45,../Graph_pKa/Features/2KIX/2KIX_NEW_ID_Added_refined_coordinates.pdb
3RUZ,3RUZ_NEW_ID_Added,3RUZ_NEW_ID_Added_refined_coordinates.pdb,2106,166.8,../Graph_pKa/Features/3RUZ/3RUZ_NEW_ID_Added_refined_coordinates.pdb
1PRW,1PRW_NEW_ID_Added,1PRW_NEW_ID_Added_refined_coordinates.pdb,2263,179.22,../Graph_pKa/Features/1PRW/1PRW_NEW_ID_Added_refined_coordinates.pdb
4KY6,4KY6_NEW_ID_Added,4KY6_NEW_ID_Added_refined_coordinates.pdb,2093,165.77,../Graph_pKa/Features/4KY6/4KY6_NEW_ID_Added_refined_coordinates.pdb
4BYA,4BYA_NEW_ID_Added,4BYA_NEW_ID_Added_refined_coordinates.pdb,1163,92.21,../Graph_pKa/Features/4BYA/4BYA_NEW_ID_Added_refined_coordinates.pdb
5JAV,5JAV_NEW_ID_Added,5JAV_NEW_ID_Added_refined_coordinates.pdb,2091,165.61,../Graph_pKa/Features/5JAV/5JAV_NEW_ID_Added_refined_coordinates.pdb
