PDB_ID,DeepKa
1BF4,4AU5
3FT7,6LUX
1CA5,8CMV
3EGF,5YUK
1DE3,6R8O
1IGV,2FLC
9RAT,1GUJ
2RN2,1BIC
1DIV,6LUU
1STN,7QRU
2GB1,2XQJ
1DG9,6LV8
1NLX,7NEI
1IGD,1P0I
4ICB,2LZT
1RGG,7Y2C
7RSA,8BW0
1C8C,5O0Z
1GOA,7Y2A
1D0D,2F1C
1DWR,5GP4
1BEO,6LUV
1RDD,
1A2P,
1PGB,
1TRW,
2CPL,
1SAP,
4HHB,
1PGA,
1BVI,
1STG,
1TRE,
1AZP,
1XNB,
1LSE,
2IGH,
2QMT,
1YPH,
1EPG,
2OVO,
1RNZ,
9RNT,
1B2X,
3ICB,
1IG5,
1EX3,
3FX5,
1MUT,
1EY0,
1UBQ,
1NFN,
1H4G,
1GB1,
1HV0,
1QH7,
1ERU,
2BCA,
2CI2,
1KF3,
1BNR,
2BUS,
1KXI,
1BNJ,
1FMH,
1BI6,
1BNZ,
2IGD,
1U2U,
1HIC,
1LYS,
1DUK,
2LZT,
1FW7,
1I0V,
1HHO,
1PPF,
1YGW,
4LZT,
1A6K,
1BEG,
3GB1,
1TRS,
1LZ1,
1EPH,
1A6M,
1LNI,
1BCX,
2MB5,
1ERT,
3RN3,
1WLA,
2SNI,
1RGA,
2LZM,
3NBS,
135L,
5TIM,
1GS9,
1HV1,
1THE,
6GST,
1EPI,
1EGF,
1A91,
1YMB,
1MBC,
1PNT,
2TGA,
1NZP,
1BUS,
6LYZ,
4PTI,
1HRC,
4MBN,
3SSI,
1CVO,
1BPI,
3SRN,
1FNA,
2TRX,
1FKS,
1L54,
1POH,
1Z12,
3EBX,
1B2V,
1HPX,
1A93,
1XSN,
1ANS,
1ERA,
2L6X,
1FEZ,
