,PDB_ID,DeepKa
0,135L,135L
1,1A2P,1A2P
2,1A6K,1A6K
3,1A6M,1A6M
4,1A91,1A91
5,1A93,1A93
6,1ANS,1ANS
7,1AZP,1AZP
8,1B2V,1B2V
9,1B2X,1B2X
10,1BCX,1BCX
11,1BEG,1BEG
12,1BEO,1BEO
13,1BF4,1BF4
14,1BI6,1BI6
15,1BIC,1BIC
16,1BNJ,1BNJ
17,1BNR,1BNR
18,1BNZ,1BNZ
19,1BPI,1BPI
20,1BUS,1BUS
21,1BVI,1BVI
22,1C8C,1C8C
23,1CA5,1CA5
24,1CVO,1CVO
25,1D0D,1D0D
26,1DE3,1DE3
27,1DG9,1DG9
28,1DIV,1DIV
29,1DUK,1DUK
30,1DWR,1DWR
31,1EGF,1EGF
32,1EPG,1EPG
33,1EPH,1EPH
34,1EPI,1EPI
35,1ERA,1ERA
36,1ERT,1ERT
37,1ERU,1ERU
38,1EX3,1EX3
39,1EY0,1EY0
40,1FEZ,1FEZ
41,1FKS,1FKS
42,1FMH,1FMH
43,1FNA,1FNA
44,1FW7,1FW7
45,1GB1,1GB1
46,1GOA,1GOA
47,1GS9,1GS9
48,1GUJ,1GUJ
49,1H4G,1H4G
50,1HHO,1HHO
51,1HIC,1HIC
52,1HPX,1HPX
53,1HRC,1HRC
54,1HV0,1HV0
55,1HV1,1HV1
56,1I0V,1I0V
57,1IG5,1IG5
58,1IGD,1IGD
59,1IGV,1IGV
60,1KF3,1KF3
61,1KXI,1KXI
62,1L54,1L54
63,1LNI,1LNI
64,1LSE,1LSE
65,1LYS,1LYS
66,1LZ1,1LZ1
67,1MBC,1MBC
68,1MUT,1MUT
69,1NFN,1NFN
70,1NLX,1NLX
71,1NZP,1NZP
72,1P0I,1P0I
73,1PGA,1PGA
74,1PGB,1PGB
75,1PNT,1PNT
76,1POH,1POH
77,1PPF,1PPF
78,1QH7,1QH7
79,1RDD,1RDD
80,1RGA,1RGA
81,1RGG,1RGG
82,1RNZ,1RNZ
83,1SAP,1SAP
84,1STG,1STG
85,1STN,1STN
86,1THE,1THE
87,1TRE,1TRE
88,1TRS,1TRS
89,1TRW,1TRW
90,1U2U,1U2U
91,1UBQ,1UBQ
92,1WLA,1WLA
93,1XNB,1XNB
94,1XSN,1XSN
95,1YGW,1YGW
96,1YMB,1YMB
97,1YPH,1YPH
98,1Z12,1Z12
99,2BCA,2BCA
100,2BUS,2BUS
101,2CI2,2CI2
102,2CPL,2CPL
103,2F1C,2F1C
104,2FLC,2FLC
105,2GB1,2GB1
106,2IGD,2IGD
107,2IGH,2IGH
108,2L6X,2L6X
109,2LZM,2LZM
110,2LZT,2LZT
111,2MB5,2MB5
112,2OVO,2OVO
113,2QMT,2QMT
114,2RN2,2RN2
115,2SNI,2SNI
116,2TGA,2TGA
117,2TRX,2TRX
118,2XQJ,2XQJ
119,3EBX,3EBX
120,3EGF,3EGF
121,3FT7,3FT7
122,3FX5,3FX5
123,3GB1,3GB1
124,3ICB,3ICB
125,3NBS,3NBS
126,3RN3,3RN3
127,3SRN,3SRN
128,3SSI,3SSI
129,4AU5,4AU5
130,4HHB,4HHB
131,4ICB,4ICB
132,4LZT,4LZT
133,4MBN,4MBN
134,4PTI,4PTI
135,5GP4,5GP4
136,5O0Z,5O0Z
137,5TIM,5TIM
138,5YUK,5YUK
139,6GST,6GST
140,6LUU,6LUU
141,6LUV,6LUV
142,6LUX,6LUX
143,6LV8,6LV8
144,6LYZ,6LYZ
145,6R8O,6R8O
146,7NEI,7NEI
147,7QRU,7QRU
148,7RSA,7RSA
149,7Y2A,7Y2A
150,7Y2C,7Y2C
151,8BW0,8BW0
152,8CMV,8CMV
153,9RAT,9RAT
154,9RNT,9RNT
155,,
